wage,effort,worker_surplus,firm_surplus,total_surplus,firm_surplus_share,session,treatment
44.479166666666664,0.34375,14.958333333333334,27.15625,42.114583333333336,0.6282322809658468,1,Effort Before
39.148936170212764,0.11914893617021277,12.936170212765957,10.034042553191489,22.97021276595745,0.5095541796555745,2,Effort Before
60.0,0.28541666666666665,31.208333333333332,18.025000000000002,49.23333333333333,0.3719416662496325,3,Effort Before
71.04166666666667,0.35625,40.708333333333336,17.752083333333335,58.46041666666667,0.28652532015649534,4,Effort Before
61.041666666666664,0.325,31.416666666666668,20.116666666666667,51.53333333333333,0.36122228060693046,5,Effort Before
50.625,0.19166666666666668,23.208333333333332,14.389583333333334,37.59791666666667,0.40400794472930124,6,Effort Before
54.375,0.22083333333333333,26.8125,15.939583333333333,42.75208333333333,0.3654785329124877,7,Effort Before
41.354166666666664,0.25625000000000003,12.958333333333334,20.714583333333334,33.672916666666666,0.6108845132857857,1,Effort After
35.108695652173914,0.21304347826086958,7.6521739130434785,19.3,26.952173913043477,0.6774517460239321,2,Effort After
42.5,0.32083333333333336,13.020833333333334,26.133333333333336,39.15416666666667,0.6351782479428629,3,Effort After
48.75,0.3458333333333334,18.458333333333332,26.06458333333333,44.52291666666667,0.5347127724671284,4,Effort After
46.48936170212766,0.3,17.361702127659573,23.3531914893617,40.714893617021275,0.5566124892865452,5,Effort After
39.270833333333336,0.2833333333333333,10.604166666666666,24.45,35.05416666666667,0.6830247406089597,6,Effort After
54.375,0.22916666666666666,26.729166666666668,16.208333333333332,42.9375,0.3914079615512071,7,Effort After
